Date : 2022-11-14 19:05:05
Directory : \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon
Total : 60 files,  5317 codes, 423 comments, 724 blanks, all 6464 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\ConsensusNode\message\service_msg.go              | Go               |         53 |          4 |          6 |         63 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\ConsensusNode\node\node.go                        | Go               |         26 |          4 |          8 |         38 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\ConsensusNode\p2pnetwork\p2p.go                   | Go               |        226 |         34 |         45 |        305 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\ConsensusNode\signature\signature.go              | Go               |         25 |          3 |          8 |         36 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\ConsensusNode\timedCommitment\open.go             | Go               |         31 |          1 |         10 |         42 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\ConsensusNode\timedCommitment\verify.go           | Go               |         65 |          1 |         10 |         76 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\ConsensusNode\util\util.go                        | Go               |         46 |          6 |         13 |         65 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\commitment\timedCommitment.go         | Go               |         80 |          9 |         15 |        104 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\config\handleConfig.go                | Go               |        142 |         10 |         24 |        176 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\config\handleTCConfig.go              | Go               |         64 |         10 |         23 |         97 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\go.mod                                | Go Module File   |         46 |          0 |          6 |         52 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\go.sum                                | Go Checksum File |        523 |          0 |          1 |        524 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\main.go                               | Go               |         26 |          1 |          7 |         34 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\message\concensus_msg.go              | Go               |         39 |          4 |          7 |         50 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\message\entropy_msg.go                | Go               |         53 |          4 |          6 |         63 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\node\node.go                          | Go               |        169 |         32 |         28 |        229 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\signature\signature.go                | Go               |         25 |          3 |          8 |         36 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\EntropyNode\util\util.go                          | Go               |         40 |          4 |         13 |         57 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\README.md                                         | Markdown         |         91 |          0 |         28 |        119 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\SHA_ECDSA_experiment\main.go                      | Go               |         30 |          0 |          6 |         36 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\VRF_experiment2\go.mod                            | Go Module File   |         26 |          0 |          4 |         30 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\VRF_experiment2\go.sum                            | Go Checksum File |         82 |          0 |          1 |         83 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\VRF_experiment2\vrf.go                            | Go               |         10 |         12 |         10 |         32 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\VRF_experiment\go.mod                             | Go Module File   |         16 |          0 |          4 |         20 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\VRF_experiment\go.sum                             | Go Checksum File |        112 |          0 |          1 |        113 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\VRF_experiment\main.go                            | Go               |         36 |          0 |         10 |         46 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\TC.yml                 | YAML             |         46 |          0 |          1 |         47 |
